,State,County,Year,Treatment,death_prop
0,Texas,Anderson,2003,Treatment,9.908963164064872e-05
1,Texas,Andrews,2003,Treatment,9.950670430431881e-05
2,Texas,Angelina,2003,Treatment,9.8844901279332e-05
3,Texas,Aransas,2003,Treatment,9.940361887012872e-05
4,Texas,Archer,2003,Treatment,9.954455171959679e-05
5,Texas,Armstrong,2003,Treatment,9.961169186376127e-05
6,Texas,Atascosa,2003,Treatment,9.922879892770304e-05
7,Texas,Austin,2003,Treatment,9.93875337186356e-05
8,Texas,Bailey,2003,Treatment,9.956830389903024e-05
9,Texas,Bandera,2003,Treatment,9.944524127244601e-05
10,Texas,Bastrop,2003,Treatment,9.898646817055085e-05
11,Texas,Baylor,2003,Treatment,9.959337293440766e-05
12,Texas,Bee,2003,Treatment,9.931126337325971e-05
13,Texas,Bell,2003,Treatment,3.9385119514145166e-05
14,Texas,Blanco,2003,Treatment,9.954654163524542e-05
15,Texas,Borden,2003,Treatment,9.962527986620513e-05
16,Texas,Bosque,2003,Treatment,9.946061434628057e-05
17,Texas,Bowie,2003,Treatment,9.876064200789616e-05
18,Texas,Brazos,2003,Treatment,6.268963614935179e-05
19,Texas,Brewster,2003,Treatment,9.954164488203162e-05
20,Texas,Briscoe,2003,Treatment,9.961534979693892e-05
21,Texas,Brooks,2003,Treatment,9.955716427319328e-05
22,Texas,Brown,2003,Treatment,9.926466618182084e-05
23,Texas,Burleson,2003,Treatment,9.946884713455238e-05
24,Texas,Burnet,2003,Treatment,9.92567455371802e-05
25,Texas,Caldwell,2003,Treatment,9.928793063683062e-05
26,Texas,Calhoun,2003,Treatment,9.943355539525453e-05
27,Texas,Callahan,2003,Treatment,9.950601173563718e-05
28,Texas,Cameron,2003,Treatment,2.800359566168296e-05
29,Texas,Camp,2003,Treatment,9.951760982243242e-05
30,Texas,Carson,2003,Treatment,9.956972805434741e-05
31,Texas,Cass,2003,Treatment,9.934224362865219e-05
32,Texas,Castro,2003,Treatment,9.955598398008795e-05
33,Texas,Chambers,2003,Treatment,9.936613237092429e-05
34,Texas,Cherokee,2003,Treatment,9.917207657722845e-05
35,Texas,Childress,2003,Treatment,9.955795438675965e-05
36,Texas,Clay,2003,Treatment,9.95214043184487e-05
37,Texas,Cochran,2003,Treatment,9.95982209151791e-05
38,Texas,Coke,2003,Treatment,9.95955091673834e-05
39,Texas,Coleman,2003,Treatment,9.954670746154947e-05
40,Texas,Collingsworth,2003,Treatment,9.960216172852247e-05
41,Texas,Colorado,2003,Treatment,9.943173130590994e-05
42,Texas,Comanche,2003,Treatment,9.950100768305017e-05
43,Texas,Concho,2003,Treatment,9.959481659870177e-05
44,Texas,Cooke,2003,Treatment,9.92641199304663e-05
45,Texas,Coryell,2003,Treatment,9.891405084812208e-05
46,Texas,Cottle,2003,Treatment,9.961503765330775e-05
47,Texas,Crane,2003,Treatment,9.959461175444382e-05
48,Texas,Crockett,2003,Treatment,9.959391918576219e-05
49,Texas,Crosby,2003,Treatment,9.956617742054298e-05
50,Texas,Culberson,2003,Treatment,9.960485396734122e-05
51,Texas,Dallam,2003,Treatment,9.957274219128578e-05
52,Texas,Dawson,2003,Treatment,9.9491984781212e-05
53,Texas,Deaf Smith,2003,Treatment,9.945446901854214e-05
54,Texas,Delta,2003,Treatment,9.957914113572453e-05
55,Texas,DeWitt,2003,Treatment,9.943714504701284e-05
56,Texas,Dickens,2003,Treatment,9.960556604499979e-05
57,Texas,Dimmit,2003,Treatment,9.953350963864454e-05
58,Texas,Donley,2003,Treatment,9.95934704792924e-05
59,Texas,Duval,2003,Treatment,9.950870397445593e-05
60,Texas,Eastland,2003,Treatment,9.945405933002624e-05
