State,County,MME,Population,Year,Treatment,_merge,Prescr_rate
Florida,Alachua,1645948320669.0007,237199.0,2006,Treatment,both,6939103.118769475
Florida,Alachua,1972812101019.2856,240196.0,2007,Treatment,both,8213342.85758
Florida,Alachua,2540521825968.202,242133.0,2008,Treatment,both,10492257.668174937
Florida,Alachua,3180395323310.3413,243574.0,2009,Treatment,both,13057203.65601559
Florida,Alachua,3293852490635.9067,247336.0,2010,Treatment,both,13317319.317187577
Florida,Alachua,3141791386973.527,249688.0,2011,Treatment,both,12582868.968366629
Florida,Alachua,2639932290142.4067,251669.0,2012,Treatment,both,10489699.923877819
Florida,Alachua,2304475644241.7505,253252.0,2013,Treatment,both,9099535.815084385
Florida,Alachua,2077070336999.51,256518.0,2014,Treatment,both,8097171.88267299
Florida,Baker,32829164285.8875,25021.0,2006,Treatment,both,1312064.4373081613
Florida,Baker,38974069660.92075,25605.0,2007,Treatment,both,1522127.305640334
Florida,Baker,46718049992.40032,26048.0,2008,Treatment,both,1793536.931526425
Florida,Baker,58780713327.795,26336.0,2009,Treatment,both,2231952.966577878
Florida,Baker,106538093594.36,27115.0,2010,Treatment,both,3929120.1768157845
Florida,Baker,120133144001.0325,27076.0,2011,Treatment,both,4436886.689357088
Florida,Baker,75986565944.96251,27052.0,2012,Treatment,both,2808907.5094249044
Florida,Baker,62718961060.1675,26991.0,2013,Treatment,both,2323699.0500599276
Florida,Baker,44556537096.0,27135.0,2014,Treatment,both,1642031.9548922055
Florida,Bay,1264406192009.7383,163802.0,2006,Treatment,both,7719113.270959685
Florida,Bay,1232434876327.3823,163300.0,2007,Treatment,both,7547059.867283419
Florida,Bay,1361477042226.24,163802.0,2008,Treatment,both,8311724.168363268
Florida,Bay,1349815301764.3784,164767.0,2009,Treatment,both,8192267.272963509
Florida,Bay,1513359416331.2964,168852.0,2010,Treatment,both,8962638.383503282
Florida,Bay,1564800876724.1704,169647.0,2011,Treatment,both,9223864.12211339
Florida,Bay,1552655522923.5488,171920.0,2012,Treatment,both,9031267.583315197
Florida,Bay,1653875872275.44,174859.0,2013,Treatment,both,9458339.989794292
Florida,Bay,1554793212877.4766,178703.0,2014,Treatment,both,8700431.514174225
Florida,Bradford,41513278748.2266,28610.0,2006,Treatment,both,1451005.8982253268
Florida,Bradford,57386821641.38325,28997.0,2007,Treatment,both,1979060.6490803617
Florida,Bradford,64372070371.687,29171.0,2008,Treatment,both,2206714.558009221
Florida,Bradford,80963519433.92456,29235.0,2009,Treatment,both,2769403.7774559455
Florida,Bradford,107808540407.4624,28520.0,2010,Treatment,both,3780103.0998408976
Florida,Bradford,87919212547.125,28477.0,2011,Treatment,both,3087376.217548372
Florida,Bradford,63596446159.04,27133.0,2012,Treatment,both,2343878.161612796
Florida,Bradford,46010138303.8,26895.0,2013,Treatment,both,1710732.0432719837
Florida,Bradford,36502593308.94,26681.0,2014,Treatment,both,1368111.8889449423
Florida,Brevard,10817482693104.322,530319.0,2006,Treatment,both,20398067.376624867
Florida,Brevard,14246829214874.344,534407.0,2007,Treatment,both,26659136.603514444
Florida,Brevard,18569730272319.207,536314.0,2008,Treatment,both,34624735.27135075
Florida,Brevard,20134138691987.24,536357.0,2009,Treatment,both,37538689.141723216
Florida,Brevard,28943792120041.89,543376.0,2010,Treatment,both,53266600.144360244
Florida,Brevard,28373154242777.133,544323.0,2011,Treatment,both,52125583.96903517
Florida,Brevard,21890897937922.99,547495.0,2012,Treatment,both,39983740.37739703
Florida,Brevard,19582662786583.742,551148.0,2013,Treatment,both,35530679.21245063
Florida,Brevard,17451365683762.8,556902.0,2014,Treatment,both,31336511.062561817
Florida,Broward,144903185774908.8,1762334.0,2006,Treatment,both,82222317.54872164
Florida,Broward,214933476679023.38,1746968.0,2007,Treatment,both,123032291.76437312
Florida,Broward,282187776786583.5,1753262.0,2008,Treatment,both,160950147.089587
Florida,Broward,347610245860943.7,1766476.0,2009,Treatment,both,196781754.10305247
Florida,Broward,425804122181916.3,1748066.0,2010,Treatment,both,243585838.39621404
Florida,Broward,190707980151317.25,1787582.0,2011,Treatment,both,106684885.0297873
Florida,Broward,93516486101457.05,1818491.0,2012,Treatment,both,51425322.4797137
Florida,Broward,68446989610453.99,1843583.0,2013,Treatment,both,37127153.814313754
Florida,Broward,58387756437059.01,1869679.0,2014,Treatment,both,31228759.82297443
Florida,Calhoun,1849038315.006,13394.0,2006,Treatment,both,138049.74727534718
Florida,Calhoun,2270080615.2830005,13515.0,2007,Treatment,both,167967.48910714025
Florida,Calhoun,2636748439.6875,13543.0,2008,Treatment,both,194694.5610047626
Florida,Calhoun,3241233280.53,13821.0,2009,Treatment,both,234515.10603646626
Florida,Calhoun,3729714045.8175,14625.0,2010,Treatment,both,255023.18262
Florida,Calhoun,3479063921.306262,14766.0,2011,Treatment,both,235613.1600505392
Florida,Calhoun,3298027322.79,14706.0,2012,Treatment,both,224264.0638372093
Florida,Calhoun,3891825595.163188,14632.0,2013,Treatment,both,265980.42613198387
Florida,Calhoun,3063120517.485,14511.0,2014,Treatment,both,211089.55395803184
Florida,Charlotte,1280843274935.971,154885.0,2006,Treatment,both,8269640.539341905
Florida,Charlotte,1708320334217.825,157235.0,2007,Treatment,both,10864758.700148344
Florida,Charlotte,2319796998981.428,157736.0,2008,Treatment,both,14706832.929587591
Florida,Charlotte,3007871776249.758,156952.0,2009,Treatment,both,19164278.099353675
