,State,County,Year,Deaths,Population,Treatment,death_prop
0,Florida,Alachua,2003,11.0,225862.0,Treatment,4.8702304947268685e-05
1,Florida,Alachua,2007,17.0,240196.0,Treatment,7.077553331445985e-05
2,Florida,Alachua,2009,15.0,243574.0,Treatment,6.158292757026611e-05
3,Florida,Alachua,2010,15.0,247336.0,Treatment,6.0646246401656045e-05
4,Florida,Alachua,2011,14.0,249688.0,Treatment,5.6069975329210856e-05
5,Florida,Alachua,2012,14.0,251669.0,Treatment,5.562862331077725e-05
6,Florida,Alachua,2013,12.0,253252.0,Treatment,4.738363369292247e-05
7,Florida,Alachua,2014,19.0,256518.0,Treatment,7.40688762581963e-05
8,Florida,Alachua,2015,23.0,259964.0,Treatment,8.84737886784324e-05
9,Florida,Bay,2003,21.0,154726.0,Treatment,0.0001357237956128899
10,Florida,Bay,2004,18.0,157841.0,Treatment,0.00011403881120874804
11,Florida,Bay,2005,17.0,161586.0,Treatment,0.00010520713428143528
12,Florida,Bay,2006,34.0,163802.0,Treatment,0.0002075676731663838
13,Florida,Bay,2007,30.0,163300.0,Treatment,0.00018371096142069811
14,Florida,Bay,2008,23.0,163802.0,Treatment,0.00014041342596549493
15,Florida,Bay,2009,18.0,164767.0,Treatment,0.00010924517652199773
16,Florida,Bay,2010,22.0,168852.0,Treatment,0.000130291616326724
17,Florida,Bay,2012,15.0,171920.0,Treatment,8.724988366682178e-05
18,Florida,Bay,2013,19.0,174859.0,Treatment,0.00010865897666119559
19,Florida,Bay,2014,22.0,178703.0,Treatment,0.00012310929307286393
20,Florida,Bay,2015,25.0,181635.0,Treatment,0.0001376386709609932
21,Florida,Brevard,2003,97.0,502985.0,Treatment,0.00019284869330099308
22,Florida,Brevard,2004,111.0,515890.0,Treatment,0.00021516214696931516
23,Florida,Brevard,2005,119.0,526088.0,Treatment,0.00022619789845044935
24,Florida,Brevard,2006,107.0,530319.0,Treatment,0.00020176535255195458
25,Florida,Brevard,2007,104.0,534407.0,Treatment,0.0001946082293083736
26,Florida,Brevard,2008,121.0,536314.0,Treatment,0.0002256140992030788
27,Florida,Brevard,2009,135.0,536357.0,Treatment,0.0002516980294840936
28,Florida,Brevard,2010,135.0,543376.0,Treatment,0.00024844674774005476
29,Florida,Brevard,2011,123.0,544323.0,Treatment,0.00022596877221796617
30,Florida,Brevard,2012,113.0,547495.0,Treatment,0.00020639457894592645
