County,County Code,Year,Deaths,State
Acadia Parish,22001.0,2003.0,11, LA
Acadia Parish,22001.0,2005.0,23, LA
Acadia Parish,22001.0,2006.0,19, LA
Acadia Parish,22001.0,2007.0,19, LA
Acadia Parish,22001.0,2009.0,11, LA
Acadia Parish,22001.0,2010.0,13, LA
Acadia Parish,22001.0,2011.0,10, LA
Ada County,16001.0,2003.0,17, ID
Ada County,16001.0,2004.0,21, ID
Ada County,16001.0,2005.0,20, ID
Ada County,16001.0,2006.0,32, ID
Ada County,16001.0,2007.0,32, ID
Ada County,16001.0,2008.0,37, ID
Ada County,16001.0,2009.0,44, ID
Ada County,16001.0,2010.0,35, ID
Ada County,16001.0,2011.0,45, ID
Ada County,16001.0,2012.0,28, ID
Ada County,16001.0,2013.0,55, ID
Ada County,16001.0,2014.0,65, ID
Ada County,16001.0,2015.0,44, ID
Adams County,8001.0,2003.0,42, CO
Adams County,8001.0,2004.0,46, CO
Adams County,8001.0,2005.0,63, CO
Adams County,8001.0,2006.0,62, CO
Adams County,8001.0,2007.0,70, CO
Adams County,8001.0,2008.0,50, CO
Adams County,8001.0,2009.0,67, CO
Adams County,8001.0,2010.0,53, CO
Adams County,8001.0,2011.0,88, CO
Adams County,8001.0,2012.0,91, CO
Adams County,8001.0,2013.0,78, CO
Adams County,8001.0,2014.0,88, CO
Adams County,8001.0,2015.0,84, CO
Adams County,17001.0,2015.0,14, IL
Adams County,39001.0,2012.0,10, OH
Adams County,39001.0,2014.0,10, OH
Adams County,39001.0,2015.0,13, OH
Adams County,42001.0,2009.0,12, PA
Adams County,42001.0,2010.0,10, PA
Aiken County,45003.0,2003.0,10, SC
Aiken County,45003.0,2004.0,16, SC
Aiken County,45003.0,2005.0,13, SC
Aiken County,45003.0,2006.0,25, SC
Aiken County,45003.0,2007.0,19, SC
Aiken County,45003.0,2008.0,18, SC
Aiken County,45003.0,2009.0,21, SC
Aiken County,45003.0,2010.0,25, SC
Aiken County,45003.0,2011.0,22, SC
Aiken County,45003.0,2012.0,26, SC
Aiken County,45003.0,2013.0,27, SC
Aiken County,45003.0,2014.0,26, SC
Aiken County,45003.0,2015.0,30, SC
Alachua County,12001.0,2003.0,11, FL
Alachua County,12001.0,2007.0,17, FL
Alachua County,12001.0,2009.0,15, FL
Alachua County,12001.0,2010.0,15, FL
Alachua County,12001.0,2011.0,14, FL
Alachua County,12001.0,2012.0,14, FL
Alachua County,12001.0,2013.0,12, FL
Alachua County,12001.0,2014.0,19, FL
Alachua County,12001.0,2015.0,23, FL
Alamance County,37001.0,2005.0,11, NC
Alamance County,37001.0,2006.0,10, NC
Alamance County,37001.0,2007.0,11, NC
Alamance County,37001.0,2008.0,19, NC
Alamance County,37001.0,2009.0,20, NC
Alamance County,37001.0,2011.0,16, NC
Alamance County,37001.0,2012.0,19, NC
Alamance County,37001.0,2013.0,15, NC
Alamance County,37001.0,2014.0,16, NC
Alamance County,37001.0,2015.0,14, NC
Alameda County,6001.0,2003.0,124, CA
Alameda County,6001.0,2004.0,154, CA
Alameda County,6001.0,2005.0,172, CA
Alameda County,6001.0,2006.0,182, CA
Alameda County,6001.0,2007.0,185, CA
Alameda County,6001.0,2008.0,157, CA
Alameda County,6001.0,2009.0,153, CA
Alameda County,6001.0,2010.0,131, CA
Alameda County,6001.0,2011.0,167, CA
Alameda County,6001.0,2012.0,133, CA
Alameda County,6001.0,2013.0,174, CA
Alameda County,6001.0,2014.0,165, CA
Alameda County,6001.0,2015.0,210, CA
Albany County,36001.0,2006.0,11, NY
Albany County,36001.0,2007.0,28, NY
Albany County,36001.0,2008.0,15, NY
Albany County,36001.0,2009.0,10, NY
Albany County,36001.0,2010.0,24, NY
Albany County,36001.0,2011.0,26, NY
Albany County,36001.0,2012.0,13, NY
Albany County,36001.0,2013.0,29, NY
Albany County,36001.0,2014.0,25, NY
Albany County,36001.0,2015.0,27, NY
Alexander County,37003.0,2009.0,11, NC
Alexander County,37003.0,2015.0,11, NC
Alexandria city,51510.0,2009.0,12, VA
Alexandria city,51510.0,2015.0,11, VA
Allegan County,26005.0,2007.0,17, MI
Allegan County,26005.0,2009.0,12, MI
Allegan County,26005.0,2013.0,10, MI
Allegan County,26005.0,2014.0,21, MI
Allegany County,24001.0,2003.0,15, MD
Allegany County,24001.0,2006.0,12, MD
Allegany County,24001.0,2011.0,10, MD
Allegany County,24001.0,2015.0,11, MD
Allegheny County,42003.0,2003.0,197, PA
Allegheny County,42003.0,2004.0,195, PA
Allegheny County,42003.0,2005.0,207, PA
Allegheny County,42003.0,2006.0,150, PA
Allegheny County,42003.0,2007.0,195, PA
Allegheny County,42003.0,2008.0,222, PA
Allegheny County,42003.0,2009.0,217, PA
Allegheny County,42003.0,2010.0,231, PA
Allegheny County,42003.0,2011.0,241, PA
Allegheny County,42003.0,2012.0,276, PA
Allegheny County,42003.0,2013.0,264, PA
Allegheny County,42003.0,2014.0,314, PA
Allegheny County,42003.0,2015.0,414, PA
Allen County,18003.0,2004.0,20, IN
Allen County,18003.0,2005.0,24, IN
Allen County,18003.0,2006.0,19, IN
Allen County,18003.0,2007.0,18, IN
Allen County,18003.0,2008.0,22, IN
Allen County,18003.0,2009.0,31, IN
Allen County,18003.0,2010.0,33, IN
Allen County,18003.0,2011.0,25, IN
Allen County,18003.0,2012.0,33, IN
Allen County,18003.0,2013.0,47, IN
Allen County,18003.0,2014.0,51, IN
Allen County,18003.0,2015.0,57, IN
Allen County,39003.0,2012.0,14, OH
Allen County,39003.0,2013.0,15, OH
Allen County,39003.0,2014.0,12, OH
Allen County,39003.0,2015.0,18, OH
Amador County,6005.0,2009.0,13, CA
Amador County,6005.0,2014.0,11, CA
Anchorage Borough,2020.0,2003.0,31, AK
Anchorage Borough,2020.0,2004.0,26, AK
Anchorage Borough,2020.0,2005.0,28, AK
Anchorage Borough,2020.0,2006.0,24, AK
Anchorage Borough,2020.0,2007.0,37, AK
Anchorage Borough,2020.0,2008.0,56, AK
Anchorage Borough,2020.0,2009.0,57, AK
Anchorage Borough,2020.0,2010.0,33, AK
Anchorage Borough,2020.0,2011.0,47, AK
Anchorage Borough,2020.0,2012.0,54, AK
Anchorage Borough,2020.0,2013.0,44, AK
Anchorage Borough,2020.0,2014.0,48, AK
Anchorage Borough,2020.0,2015.0,52, AK
Anderson County,45007.0,2003.0,12, SC
Anderson County,45007.0,2004.0,18, SC
Anderson County,45007.0,2005.0,19, SC
Anderson County,45007.0,2006.0,18, SC
Anderson County,45007.0,2007.0,25, SC
Anderson County,45007.0,2008.0,29, SC
Anderson County,45007.0,2009.0,41, SC
Anderson County,45007.0,2010.0,33, SC
Anderson County,45007.0,2011.0,32, SC
Anderson County,45007.0,2012.0,28, SC
Anderson County,45007.0,2013.0,36, SC
Anderson County,45007.0,2014.0,35, SC
Anderson County,45007.0,2015.0,39, SC
Anderson County,47001.0,2003.0,10, TN
Anderson County,47001.0,2005.0,13, TN
Anderson County,47001.0,2006.0,13, TN
Anderson County,47001.0,2008.0,13, TN
Anderson County,47001.0,2010.0,16, TN
Anderson County,47001.0,2011.0,15, TN
Anderson County,47001.0,2012.0,16, TN
Anderson County,47001.0,2013.0,20, TN
Anderson County,47001.0,2014.0,18, TN
Anderson County,47001.0,2015.0,22, TN
Anderson County,48001.0,2004.0,11, TX
Anderson County,48001.0,2006.0,10, TX
Anderson County,48001.0,2008.0,10, TX
Androscoggin County,23001.0,2008.0,13, ME
Androscoggin County,23001.0,2009.0,13, ME
Androscoggin County,23001.0,2010.0,12, ME
Androscoggin County,23001.0,2011.0,12, ME
Androscoggin County,23001.0,2013.0,10, ME
Androscoggin County,23001.0,2014.0,21, ME
Androscoggin County,23001.0,2015.0,23, ME
Anne Arundel County,24003.0,2003.0,41, MD
Anne Arundel County,24003.0,2004.0,53, MD
Anne Arundel County,24003.0,2005.0,58, MD
Anne Arundel County,24003.0,2006.0,61, MD
Anne Arundel County,24003.0,2007.0,68, MD
Anne Arundel County,24003.0,2008.0,70, MD
Anne Arundel County,24003.0,2009.0,74, MD
Anne Arundel County,24003.0,2010.0,59, MD
Anne Arundel County,24003.0,2011.0,72, MD
Anne Arundel County,24003.0,2012.0,75, MD
Anne Arundel County,24003.0,2013.0,97, MD
Anne Arundel County,24003.0,2014.0,111, MD
Anne Arundel County,24003.0,2015.0,133, MD
Anoka County,27003.0,2003.0,11, MN
Anoka County,27003.0,2004.0,14, MN
Anoka County,27003.0,2005.0,14, MN
Anoka County,27003.0,2006.0,12, MN
Anoka County,27003.0,2007.0,16, MN
Anoka County,27003.0,2008.0,13, MN
Anoka County,27003.0,2009.0,30, MN
Anoka County,27003.0,2010.0,36, MN
Anoka County,27003.0,2011.0,35, MN
Anoka County,27003.0,2012.0,36, MN
Anoka County,27003.0,2013.0,43, MN
Anoka County,27003.0,2014.0,22, MN
Anoka County,27003.0,2015.0,34, MN
Aransas County,48007.0,2006.0,10, TX
Arapahoe County,8005.0,2003.0,45, CO
Arapahoe County,8005.0,2004.0,65, CO
Arapahoe County,8005.0,2005.0,54, CO
Arapahoe County,8005.0,2006.0,66, CO
Arapahoe County,8005.0,2007.0,88, CO
Arapahoe County,8005.0,2008.0,90, CO
Arapahoe County,8005.0,2009.0,90, CO
Arapahoe County,8005.0,2010.0,78, CO
Arapahoe County,8005.0,2011.0,72, CO
Arapahoe County,8005.0,2012.0,78, CO
Arapahoe County,8005.0,2013.0,97, CO
Arapahoe County,8005.0,2014.0,99, CO
Arapahoe County,8005.0,2015.0,98, CO
Arlington County,51013.0,2015.0,14, VA
Armstrong County,42005.0,2006.0,14, PA
Armstrong County,42005.0,2010.0,13, PA
Armstrong County,42005.0,2011.0,15, PA
Armstrong County,42005.0,2012.0,14, PA
Armstrong County,42005.0,2013.0,14, PA
Armstrong County,42005.0,2014.0,17, PA
Armstrong County,42005.0,2015.0,26, PA
Aroostook County,23003.0,2011.0,13, ME
Ascension Parish,22005.0,2003.0,11, LA
Ascension Parish,22005.0,2005.0,10, LA
Ascension Parish,22005.0,2007.0,11, LA
Ascension Parish,22005.0,2008.0,12, LA
Ascension Parish,22005.0,2009.0,13, LA
Ascension Parish,22005.0,2011.0,11, LA
Ascension Parish,22005.0,2012.0,12, LA
Ascension Parish,22005.0,2013.0,22, LA
Ascension Parish,22005.0,2014.0,15, LA
Ascension Parish,22005.0,2015.0,16, LA
Ashtabula County,39007.0,2008.0,10, OH
Ashtabula County,39007.0,2010.0,18, OH
Ashtabula County,39007.0,2011.0,18, OH
Ashtabula County,39007.0,2012.0,26, OH
Ashtabula County,39007.0,2013.0,15, OH
Ashtabula County,39007.0,2014.0,27, OH
Ashtabula County,39007.0,2015.0,22, OH
Athens County,39009.0,2007.0,13, OH
Athens County,39009.0,2011.0,12, OH
Athens County,39009.0,2012.0,10, OH
Atlantic County,34001.0,2003.0,34, NJ
Atlantic County,34001.0,2004.0,40, NJ
Atlantic County,34001.0,2005.0,35, NJ
Atlantic County,34001.0,2006.0,35, NJ
Atlantic County,34001.0,2007.0,26, NJ
Atlantic County,34001.0,2008.0,31, NJ
Atlantic County,34001.0,2009.0,12, NJ
Atlantic County,34001.0,2010.0,35, NJ
Atlantic County,34001.0,2011.0,52, NJ
Atlantic County,34001.0,2012.0,62, NJ
Atlantic County,34001.0,2013.0,64, NJ
Atlantic County,34001.0,2014.0,56, NJ
Atlantic County,34001.0,2015.0,58, NJ
Augusta County,51015.0,2009.0,15, VA
Augusta County,51015.0,2012.0,11, VA
Baldwin County,1003.0,2003.0,10, AL
Baldwin County,1003.0,2004.0,18, AL
Baldwin County,1003.0,2005.0,14, AL
Baldwin County,1003.0,2006.0,11, AL
Baldwin County,1003.0,2007.0,24, AL
Baldwin County,1003.0,2008.0,19, AL
Baldwin County,1003.0,2009.0,29, AL
Baldwin County,1003.0,2010.0,24, AL
Baldwin County,1003.0,2011.0,23, AL
Baldwin County,1003.0,2012.0,24, AL
Baldwin County,1003.0,2013.0,20, AL
Baldwin County,1003.0,2014.0,32, AL
Baldwin County,1003.0,2015.0,40, AL
Baltimore County,24005.0,2003.0,157, MD
Baltimore County,24005.0,2004.0,104, MD
Baltimore County,24005.0,2005.0,111, MD
Baltimore County,24005.0,2006.0,132, MD
Baltimore County,24005.0,2007.0,116, MD
Baltimore County,24005.0,2008.0,127, MD
Baltimore County,24005.0,2009.0,129, MD
Baltimore County,24005.0,2010.0,120, MD
Baltimore County,24005.0,2011.0,112, MD
Baltimore County,24005.0,2012.0,159, MD
Baltimore County,24005.0,2013.0,143, MD
Baltimore County,24005.0,2014.0,189, MD
Baltimore County,24005.0,2015.0,234, MD
Baltimore city,24510.0,2003.0,273, MD
Baltimore city,24510.0,2004.0,247, MD
Baltimore city,24510.0,2005.0,231, MD
Baltimore city,24510.0,2006.0,253, MD
Baltimore city,24510.0,2007.0,254, MD
Baltimore city,24510.0,2008.0,164, MD
Baltimore city,24510.0,2009.0,204, MD
Baltimore city,24510.0,2010.0,136, MD
Baltimore city,24510.0,2011.0,134, MD
Baltimore city,24510.0,2012.0,187, MD
Baltimore city,24510.0,2013.0,199, MD
Baltimore city,24510.0,2014.0,254, MD
Baltimore city,24510.0,2015.0,329, MD
Bannock County,16005.0,2009.0,11, ID
Bannock County,16005.0,2010.0,11, ID
Bannock County,16005.0,2011.0,11, ID
Bannock County,16005.0,2012.0,13, ID
Bannock County,16005.0,2013.0,11, ID
Bannock County,16005.0,2014.0,22, ID
Barnstable County,25001.0,2003.0,21, MA
Barnstable County,25001.0,2004.0,21, MA
Barnstable County,25001.0,2005.0,20, MA
Barnstable County,25001.0,2006.0,28, MA
Barnstable County,25001.0,2007.0,37, MA
Barnstable County,25001.0,2008.0,26, MA
Barnstable County,25001.0,2009.0,25, MA
Barnstable County,25001.0,2010.0,24, MA
Barnstable County,25001.0,2011.0,18, MA
Barnstable County,25001.0,2012.0,20, MA
Barnstable County,25001.0,2013.0,41, MA
Barnstable County,25001.0,2014.0,48, MA
Barnstable County,25001.0,2015.0,62, MA
Barrow County,13013.0,2006.0,10, GA
Barrow County,13013.0,2008.0,10, GA
Barrow County,13013.0,2010.0,12, GA
Barrow County,13013.0,2012.0,10, GA
Barrow County,13013.0,2014.0,11, GA
Bartholomew County,18005.0,2007.0,10, IN
Bartholomew County,18005.0,2008.0,14, IN
Bartholomew County,18005.0,2010.0,14, IN
Bartholomew County,18005.0,2014.0,10, IN
Bartow County,13015.0,2004.0,13, GA
Bartow County,13015.0,2008.0,14, GA
Bartow County,13015.0,2010.0,20, GA
Bartow County,13015.0,2011.0,17, GA
Bartow County,13015.0,2012.0,13, GA
Bartow County,13015.0,2014.0,16, GA
Bartow County,13015.0,2015.0,18, GA
Bastrop County,48021.0,2013.0,10, TX
Bath County,21011.0,2008.0,11, KY
Bay County,12005.0,2003.0,21, FL
Bay County,12005.0,2004.0,18, FL
Bay County,12005.0,2005.0,17, FL
Bay County,12005.0,2006.0,34, FL
Bay County,12005.0,2007.0,30, FL
Bay County,12005.0,2008.0,23, FL
Bay County,12005.0,2009.0,18, FL
Bay County,12005.0,2010.0,22, FL
Bay County,12005.0,2012.0,15, FL
Bay County,12005.0,2013.0,19, FL
Bay County,12005.0,2014.0,22, FL
Bay County,12005.0,2015.0,25, FL
Bay County,26017.0,2006.0,13, MI
Bay County,26017.0,2007.0,12, MI
Bay County,26017.0,2008.0,17, MI
Bay County,26017.0,2009.0,14, MI
Bay County,26017.0,2010.0,11, MI
Bay County,26017.0,2011.0,20, MI
Bay County,26017.0,2012.0,21, MI
Bay County,26017.0,2013.0,17, MI
Bay County,26017.0,2014.0,13, MI
Bay County,26017.0,2015.0,21, MI
Beaufort County,45013.0,2010.0,11, SC
Beaufort County,45013.0,2011.0,13, SC
Beaufort County,45013.0,2013.0,11, SC
Beaufort County,45013.0,2014.0,10, SC
Beaver County,42007.0,2003.0,20, PA
Beaver County,42007.0,2004.0,18, PA
Beaver County,42007.0,2005.0,14, PA
Beaver County,42007.0,2006.0,17, PA
Beaver County,42007.0,2007.0,20, PA
Beaver County,42007.0,2008.0,18, PA
Beaver County,42007.0,2009.0,26, PA
Beaver County,42007.0,2010.0,24, PA
Beaver County,42007.0,2011.0,33, PA
Beaver County,42007.0,2012.0,31, PA
Beaver County,42007.0,2013.0,41, PA
Beaver County,42007.0,2014.0,34, PA
Beaver County,42007.0,2015.0,34, PA
Bedford County,42009.0,2003.0,11, PA
Bedford County,42009.0,2009.0,11, PA
Bedford County,51019.0,2013.0,11, VA
Belknap County,33001.0,2007.0,13, NH
Belknap County,33001.0,2014.0,10, NH
Belknap County,33001.0,2015.0,16, NH
Bell County,21013.0,2003.0,15, KY
Bell County,21013.0,2004.0,15, KY
Bell County,21013.0,2005.0,17, KY
Bell County,21013.0,2006.0,10, KY
Bell County,21013.0,2007.0,13, KY
Bell County,21013.0,2008.0,13, KY
Bell County,21013.0,2009.0,11, KY
Bell County,21013.0,2010.0,24, KY
Bell County,21013.0,2011.0,11, KY
Bell County,21013.0,2013.0,23, KY
Bell County,21013.0,2015.0,17, KY
Bell County,48027.0,2005.0,10, TX
Bell County,48027.0,2006.0,10, TX
Bell County,48027.0,2007.0,10, TX
Bell County,48027.0,2009.0,11, TX
Bell County,48027.0,2010.0,22, TX
Bell County,48027.0,2011.0,20, TX
Bell County,48027.0,2012.0,26, TX
Bell County,48027.0,2013.0,19, TX
Bell County,48027.0,2014.0,17, TX
Bell County,48027.0,2015.0,23, TX
Belmont County,39013.0,2012.0,10, OH
Belmont County,39013.0,2014.0,14, OH
Belmont County,39013.0,2015.0,18, OH
Benton County,5007.0,2005.0,10, AR
Benton County,5007.0,2006.0,10, AR
Benton County,5007.0,2007.0,13, AR
Benton County,5007.0,2008.0,12, AR
Benton County,5007.0,2009.0,15, AR
Benton County,5007.0,2010.0,20, AR
Benton County,5007.0,2011.0,18, AR
Benton County,5007.0,2012.0,19, AR
Benton County,5007.0,2013.0,11, AR
Benton County,5007.0,2014.0,19, AR
Benton County,5007.0,2015.0,30, AR
Benton County,47005.0,2013.0,10, TN
Benton County,53005.0,2003.0,10, WA
Benton County,53005.0,2004.0,12, WA
Benton County,53005.0,2005.0,13, WA
Benton County,53005.0,2006.0,16, WA
Benton County,53005.0,2007.0,17, WA
Benton County,53005.0,2008.0,10, WA
Benton County,53005.0,2009.0,17, WA
Benton County,53005.0,2010.0,10, WA
Benton County,53005.0,2011.0,16, WA
Benton County,53005.0,2012.0,16, WA
Benton County,53005.0,2013.0,18, WA
Benton County,53005.0,2014.0,20, WA
Benton County,53005.0,2015.0,28, WA
Bergen County,34003.0,2003.0,55, NJ
