,State,County,Year,Population
0,Alabama,Autauga County,2006,49105.0
1,Alabama,Baldwin County,2006,168516.0
2,Alabama,Barbour County,2006,29556.0
3,Alabama,Bibb County,2006,21285.0
4,Alabama,Blount County,2006,55978.0
5,Alabama,Bullock County,2006,10739.0
6,Alabama,Butler County,2006,20231.0
7,Alabama,Calhoun County,2006,112453.0
8,Alabama,Chambers County,2006,34822.0
9,Alabama,Cherokee County,2006,24531.0
10,Alabama,Chilton County,2006,41821.0
11,Alabama,Choctaw County,2006,14389.0
12,Alabama,Clarke County,2006,26729.0
13,Alabama,Clay County,2006,13777.0
14,Alabama,Cleburne County,2006,14433.0
15,Alabama,Coffee County,2006,45639.0
16,Alabama,Colbert County,2006,54462.0
17,Alabama,Conecuh County,2006,13309.0
18,Alabama,Coosa County,2006,10857.0
19,Alabama,Covington County,2006,36717.0
20,Alabama,Crenshaw County,2006,13688.0
21,Alabama,Cullman County,2006,79871.0
22,Alabama,Dale County,2006,48038.0
23,Alabama,Dallas County,2006,43050.0
24,Alabama,DeKalb County,2006,67447.0
25,Alabama,Elmore County,2006,75511.0
26,Alabama,Escambia County,2006,37572.0
27,Alabama,Etowah County,2006,102854.0
28,Alabama,Fayette County,2006,17758.0
29,Alabama,Franklin County,2006,30791.0
30,Alabama,Geneva County,2006,25769.0
31,Alabama,Greene County,2006,9119.0
32,Alabama,Hale County,2006,17901.0
33,Alabama,Henry County,2006,16555.0
34,Alabama,Houston County,2006,95511.0
35,Alabama,Jackson County,2006,52998.0
36,Alabama,Jefferson County,2006,661447.0
37,Alabama,Lamar County,2006,14456.0
38,Alabama,Lauderdale County,2006,87992.0
39,Alabama,Lawrence County,2006,33875.0
40,Alabama,Lee County,2006,128217.0
41,Alabama,Limestone County,2006,71795.0
42,Alabama,Lowndes County,2006,12711.0
43,Alabama,Macon County,2006,22544.0
44,Alabama,Madison County,2006,307509.0
45,Alabama,Marengo County,2006,21335.0
46,Alabama,Marion County,2006,29585.0
47,Alabama,Marshall County,2006,86760.0
48,Alabama,Mobile County,2006,402199.0
49,Alabama,Monroe County,2006,22986.0
50,Alabama,Montgomery County,2006,225333.0
51,Alabama,Morgan County,2006,114297.0
52,Alabama,Perry County,2006,10554.0
53,Alabama,Pickens County,2006,19698.0
54,Alabama,Pike County,2006,29975.0
55,Alabama,Randolph County,2006,22461.0
56,Alabama,Russell County,2006,49695.0
57,Alabama,St. Clair County,2006,75223.0
58,Alabama,Shelby County,2006,178840.0
59,Alabama,Sumter County,2006,13471.0
60,Alabama,Talladega County,2006,80124.0
61,Alabama,Tallapoosa County,2006,40719.0
62,Alabama,Tuscaloosa County,2006,176899.0
63,Alabama,Walker County,2006,68978.0
64,Alabama,Washington County,2006,17369.0
65,Alabama,Wilcox County,2006,12538.0
66,Alabama,Winston County,2006,24321.0
67,Alaska,Aleutians East Borough,2006,2619.0
68,Alaska,Aleutians West Census Area,2006,5019.0
69,Alaska,Anchorage Municipality,2006,279935.0
70,Alaska,Bethel Census Area,2006,17090.0
71,Alaska,Bristol Bay Borough,2006,1038.0
72,Alaska,Denali Borough,2006,1828.0
73,Alaska,Dillingham Census Area,2006,4945.0
74,Alaska,Fairbanks North Star Borough,2006,94803.0
75,Alaska,Haines Borough,2006,2245.0
76,Alaska,Hoonah-Angoon Census Area,2006,2228.0
77,Alaska,Juneau City and Borough,2006,30681.0
78,Alaska,Kenai Peninsula Borough,2006,52179.0
79,Alaska,Ketchikan Gateway Borough,2006,13302.0
80,Alaska,Kodiak Island Borough,2006,13093.0
